Date,Open,High,Low,Close,Adj_Close,Volume
"Jul 22, 2019","1,133.45","1,136.52","1,124.24","1,129.64","1,129.64","410,485"
"Jul 19, 2019","1,148.19","1,151.14","1,129.62","1,130.10","1,130.10","1,646,300"
"Jul 18, 2019","1,141.74","1,147.60","1,132.73","1,146.33","1,146.33","1,291,300"
"Jul 17, 2019","1,150.97","1,158.36","1,145.77","1,146.35","1,146.35","1,170,000"
"Jul 16, 2019","1,146.00","1,158.58","1,145.00","1,153.58","1,153.58","1,238,800"
"Jul 15, 2019","1,146.86","1,150.82","1,139.40","1,150.34","1,150.34","903,800"
"Jul 12, 2019","1,143.99","1,147.34","1,138.78","1,144.90","1,144.90","864,000"
"Jul 11, 2019","1,143.25","1,153.07","1,139.58","1,144.21","1,144.21","1,195,500"
"Jul 10, 2019","1,131.22","1,142.05","1,130.97","1,140.48","1,140.48","1,209,500"
"Jul 09, 2019","1,111.80","1,128.03","1,107.17","1,124.83","1,124.83","1,330,400"
"Jul 08, 2019","1,125.17","1,125.98","1,111.21","1,116.35","1,116.35","1,236,400"
"Jul 05, 2019","1,117.80","1,132.88","1,116.14","1,131.59","1,131.59","1,264,300"
"Jul 03, 2019","1,117.41","1,126.76","1,113.86","1,121.58","1,121.58","767,000"
"Jul 02, 2019","1,102.24","1,111.77","1,098.17","1,111.25","1,111.25","991,600"
"Jul 01, 2019","1,098.00","1,107.58","1,093.70","1,097.95","1,097.95","1,436,300"
"Jun 28, 2019","1,076.39","1,081.00","1,073.37","1,080.91","1,080.91","1,693,200"
"Jun 27, 2019","1,084.00","1,087.10","1,075.29","1,076.01","1,076.01","1,004,300"
"Jun 26, 2019","1,086.50","1,092.97","1,072.24","1,079.80","1,079.80","1,810,900"
"Jun 25, 2019","1,112.66","1,114.35","1,083.80","1,086.35","1,086.35","1,546,900"
"Jun 24, 2019","1,119.61","1,122.00","1,111.01","1,115.52","1,115.52","1,395,600"
"Jun 21, 2019","1,109.24","1,124.11","1,108.08","1,121.88","1,121.88","1,947,600"
"Jun 20, 2019","1,119.99","1,120.12","1,104.74","1,111.42","1,111.42","1,262,000"
"Jun 19, 2019","1,105.60","1,107.00","1,093.48","1,102.33","1,102.33","1,338,800"
"Jun 18, 2019","1,109.69","1,116.39","1,098.99","1,103.60","1,103.60","1,386,700"
"Jun 17, 2019","1,086.28","1,099.18","1,086.28","1,092.50","1,092.50","941,600"
"Jun 14, 2019","1,086.42","1,092.69","1,080.17","1,085.35","1,085.35","1,111,500"
"Jun 13, 2019","1,083.64","1,094.17","1,080.15","1,088.77","1,088.77","1,057,700"
"Jun 12, 2019","1,078.00","1,080.93","1,067.54","1,077.03","1,077.03","1,061,000"
"Jun 11, 2019","1,093.98","1,101.99","1,077.60","1,078.72","1,078.72","1,436,700"
"Jun 10, 2019","1,072.98","1,092.66","1,072.32","1,080.38","1,080.38","1,464,200"
"Jun 07, 2019","1,050.63","1,070.92","1,048.40","1,066.04","1,066.04","1,802,400"
"Jun 06, 2019","1,044.99","1,047.49","1,033.70","1,044.34","1,044.34","1,703,200"
